name,website,description
Google Analytics,http://www.google.com/analytics/,"Get the data you need to make intelligent marketing and business decisions with Google Analytics. Available for websites, apps, and enterprise businesses."
Marketo,http://www.marketo.com/,Marketo's powerful marketing automation software helps marketers master the art & science of digital marketing to engage customers and prospects.
MailChimp,http://mailchimp.com/,"MailChimp is the best way to design, send, and share email newsletters."
Intercom,https://www.intercom.io/,"Intercom is one place for every team in an internet business to communicate with customers, personally, at scaleƒ__on your website, inside web and mobile apps, and by email."
KISSmetrics,https://kissmetrics.com,"Giving you the knowledge you need to make better decisions. Kissmetrics is a revolutionary person-based analytics platform for your whole team. Get product, sales, marketing, customer support working together to improve the metrics that matter."
Omniture,https://my.omniture.com/login/,
Optimizely,https://www.optimizely.com/,Enterprise-level A/B testing and personalization for the web and mobile apps.
AdRoll,https://www.adroll.com/,"AdRoll is the top retargeting platform, making retargeting simple and profitable for companies and agencies of all sizes."
Crittercism,http://www.crittercism.com/,Whether you are a CEO or CDO or Product Manager you understand that the success of your mobile business is measured in dollars and made up of critical user interactions and transactions.
